epoch,phase,train_loss,val_loss,train_acc,val_acc
1,frozen,1.6893138756353108,1.620433348369184,0.33051373583734284,0.3407821229050279
2,frozen,1.6123543814548549,1.5841805479823987,0.37086760825702314,0.3718187461204221
3,frozen,1.5931227393685412,1.5720905084035768,0.37738631072481765,0.3715083798882682
4,frozen,1.585164113979467,1.5735522705453437,0.3802576439546795,0.3891992551210428
5,frozen,1.5825699465477965,1.545231175156279,0.3786279683377309,0.3885785226567349
6,frozen,1.5762720367432232,1.5712993594151266,0.38460344559987586,0.37988826815642457
7,frozen,1.5574155740073319,1.5342329112289117,0.3908893372652491,0.3932340161390441
8,frozen,1.5702855227138988,1.5472933305560395,0.39313984168865435,0.40347610180012417
9,frozen,1.5540049217251652,1.5704022945638476,0.39151016607170575,0.3746120422098076
10,frozen,1.550411540566811,1.5525857973069157,0.40113301257178335,0.3860955927995034
11,frozen,1.5447134047251727,1.5590715404625342,0.4007449945677479,0.40347610180012417
12,frozen,1.5215794633453572,1.5351002393932094,0.4085829582492628,0.4053382991930478
13,frozen,1.511159568752133,1.5566097822787228,0.42138755238243053,0.39695841092489137
14,frozen,1.5150603990497082,1.5549656032109986,0.4150240571162502,0.4037864680322781
15,frozen,1.5090262927421405,1.5145238703781592,0.41766257954369085,0.3994413407821229
16,frozen,1.50791051025885,1.5145601322013054,0.41696414713642715,0.39726877715704534
17,frozen,1.4960002900835114,1.5315783553653293,0.42387086760825704,0.40037243947858475
18,frozen,1.50962786453954,1.5307539132424277,0.421853173987273,0.3932340161390441
19,frozen,1.4918227756909659,1.5092535249051806,0.42860468725748874,0.39975170701427687
20,frozen,1.485474541286088,1.5127911413034099,0.42992394847120907,0.4130974549968963
21,frozen,1.4936519563706898,1.5140196600735816,0.42689740803973303,0.40440720049658596
22,frozen,1.4822408104468332,1.5158089892898265,0.4306999844792798,0.40471756672873993
23,frozen,1.4884534380033707,1.5342038758862173,0.42697501164054014,0.39075108628181254
24,frozen,1.476329809554001,1.5087591707151473,0.42984634487040196,0.40099317194289263
25,frozen,1.4692890222779753,1.5025758332602361,0.43846034455998756,0.40099317194289263
26,frozen,1.4556931882805286,1.5151365025305437,0.44071084898339286,0.4037864680322781
27,frozen,1.4660796841793542,1.5176233070226726,0.4362874437373894,0.4031657355679702
28,frozen,1.4494614685319993,1.5109713671001717,0.4390811733664442,0.40440720049658596
29,frozen,1.444327381573792,1.5116410651316485,0.4467639298463449,0.4000620732464308
30,frozen,1.447187852012099,1.4992605724518229,0.44210771379792024,0.4137181874612042
31,frozen,1.4474087194239669,1.4984101895439483,0.4394691913704796,0.41464928615766605
32,frozen,1.4383909587772776,1.4960052061347322,0.4460654974390812,0.41464928615766605
33,frozen,1.442093642457716,1.5075742069199394,0.44544466863262455,0.40502793296089384
34,frozen,1.4416447593506017,1.4982815391154558,0.4442806146205184,0.41527001862197394
35,frozen,1.4412484481692518,1.5106433193406876,0.4491696414713643,0.40875232774674114
36,frozen,1.4496652729926078,1.4941043066430877,0.4527394071084898,0.41495965238981997
37,frozen,1.450646757172924,1.4914322634944999,0.44808319106006517,0.4106145251396648
38,frozen,1.4409962975421937,1.503006810656547,0.4472295514511873,0.40347610180012417
39,frozen,1.4384641436044425,1.5109115138252207,0.4497128666770138,0.4084419615145872
40,frozen,1.4380809506070404,1.497070121883532,0.4442806146205184,0.4090626939788951
41,frozen,1.4314833992148859,1.4894629675434807,0.45173056029799785,0.4121663563004345
42,frozen,1.4346031734296925,1.501452084212182,0.4455998758342387,0.4084419615145872
