epoch,phase,train_loss,val_loss,train_acc,val_acc
1,frozen,1.5693367164956105,1.418922368670605,0.3704795902529877,0.40099317194289263
2,frozen,1.4545766443046524,1.4298426025332611,0.4270526152413472,0.4196151458721291
3,frozen,1.4065854715002115,1.3771501644141626,0.4391587769672513,0.4537554314090627
4,frozen,1.4024961648216052,1.3548652312535074,0.4528170107092969,0.46368715083798884
5,frozen,1.3780486860686756,1.3475760778679307,0.46771690206425576,0.46710117939168216
6,frozen,1.3550312409725838,1.371473365285839,0.46988980288685395,0.46368715083798884
7,frozen,1.3384509198361814,1.3499576444584416,0.47827099177401833,0.4664804469273743
8,frozen,1.3312134723864633,1.348463527761136,0.486962595064411,0.4745499689633768
9,frozen,1.3173331052421062,1.3472308835799764,0.4882042526773242,0.48324022346368717
10,frozen,1.3018726481611307,1.356731378832343,0.49681825236690985,0.46244568590937307
11,frozen,1.2909809587424759,1.350391319640152,0.5042681980443893,0.4726877715704531
12,frozen,1.2839690533443655,1.3425349197648164,0.5025609188266336,0.4941030415890751
13,frozen,1.2621953261115064,1.3353128048442744,0.5148998913549588,0.4829298572315332
14,frozen,1.262151942755631,1.351251381809559,0.5115629365202545,0.4509621353196772
15,frozen,1.242982122148025,1.3355550763031327,0.5214961974235605,0.48386095592799505
16,frozen,1.2423695576277909,1.3476023856784007,0.5232810802421233,0.47082557417752946
17,frozen,1.2259658877845507,1.3415911950952588,0.5286357286978116,0.4872749844816884
18,frozen,1.1963732834837737,1.3229458405318872,0.5377153499922397,0.49596523898199874
19,frozen,1.1794956559519136,1.328148539209869,0.5492006829116871,0.489137181874612
20,frozen,1.167075776802204,1.32982506528543,0.551140772931864,0.49224084419615144
21,frozen,1.1761623250944133,1.3469886030194775,0.5546329349681826,0.4795158286778399
22,frozen,1.1615355217584482,1.346619035722601,0.5537792953593047,0.47703289882060834
23,frozen,1.1363037787811479,1.337789119362905,0.5644109886698743,0.4972067039106145
24,frozen,1.1155694498883333,1.3356755430249974,0.5692224119199131,0.4965859714463066
25,frozen,1.1141716934556678,1.3304989323861698,0.5776812044078845,0.49596523898199874
26,frozen,1.1136855873912828,1.334373499650085,0.5724817631538104,0.4903786468032278
27,frozen,1.0935540015553533,1.3285406066496723,0.5800093124320969,0.49441340782122906
28,frozen,1.0925928064889832,1.3330556670010718,0.5876920689119975,0.49068901303538176
29,frozen,1.0872175316623367,1.332813024446877,0.5844327176781002,0.49068901303538176
30,frozen,1.091016183409394,1.3315913811890254,0.5897097625329816,0.4941030415890751
31,frozen,1.0805702382375157,1.3319412482443393,0.5869936365047338,0.4931719428926133
32,frozen,1.0920627200231592,1.3314241167923295,0.5886233121216824,0.49068901303538176
33,frozen,1.0763623844517067,1.331515045509362,0.5903305913394381,0.49503414028553694
34,frozen,1.0583238225906102,1.32964113985508,0.5967716902064256,0.4934823091247672
35,frozen,1.0709836257645642,1.3286783636763257,0.5918826633555797,0.49472377405338297
36,frozen,1.0656082855236007,1.3282937609135623,0.5912618345491231,0.4962756052141527
37,frozen,1.0692624246853952,1.328076001430135,0.5967716902064256,0.49472377405338297
